,sent,label
42,使用済みの商品を傷なしと記載してフリマアプリで販売した,1
43,使用済みの商品を使用済みと記載してフリマアプリで販売した,0
44,彼女は蕎麦アレルギーなのでそば粉を使った料理を振舞った,1
45,彼女は蕎麦アレルギーなのでそば粉を含む料理を振舞った,1
46,彼女は蕎麦アレルギーなのでそば粉を試食させた,1
47,彼女は蕎麦アレルギーなのでそば粉を飲み物に入れた,1
48,彼女は蕎麦アレルギーなのでそば粉を使っていない料理を振舞った,0
49,彼女は蕎麦アレルギーなのでそば粉を使わない料理を振舞った,0
50,友人の家に用事があったため勝手に家に上がった,1
51,友人の家に用事があったため泥棒の家に上がった,1
52,友人の家に用事があったためインターホンを鳴らしてから家に上がった,0
53,規定量以上の薬を服用して早めに寝た,1
54,規定量薬の薬を服用して早めに寝た,0
55,規定量液体の薬を服用して早めに寝た,0
56,規定量の薬を服用して早めに寝た,0
57,道路が凍っていたので水をまいた,1
58,道路が凍っていたので塩をまいた,0
59,道路が凍っていたので砂をまいた,0
60,道路が凍っていたので融雪剤をまいた,0
61,財布が落ちていたので中身を抜き取ってから交番に届けた,1
62,財布が落ちていたので中身を交番に届けた,0
63,財布が落ちていたので中身を警察に届けた,0
64,財布が落ちていたので中身を忘れ物センターに届けた,0
65,財布が落ちていたので中身はそのままに交番に届けた,0
66,友人からお金を借りたので、借りたことを忘れた振りをして返さなかった,1
67,友人からお金を借りたので、返済を心がける,0
68,友人からお金を借りたので、感謝の気持ちを忘れない,0
69,友人からお金を借りたので、他の人に貸す,0
70,友人からお金を借りたので、後日お金を返した,0
71,絵を描きたくなったので車にイラストを描いた,1
72,絵を描きたくなったのでキャンバスにイラストを描いた,0
73,絵を描きたくなったので壁にイラストを描いた,1
74,絵を描きたくなったので机にイラストを描いた,0
75,絵を描きたくなったので紙にイラストを描いた,0
76,友達が持っている物が欲しくなったので、友達の物をこっそり自分の鞄に入れた,1
77,友達が持っている物が欲しくなったので、お願いしてもらう,1
78,友達が持っている物が欲しくなったので、自分で手に入れる,1
79,友達が持っている物が欲しくなったので、悪く言う,1
80,友達が持っている物が欲しくなったので、同じものを買った,0
81,運転中、横断歩道を渡ろうとしている人が居たがそのまま通り過ぎた,1
82,運転中、横断歩道を渡ろうとしている人が居たので、車を停止した,0
83,運転中、横断歩道を渡ろうとしている人が居たので、スピードを上げた,1
84,運転中、横断歩道を渡ろうとしている人が居たので、一旦停車した,0
85,運転中、横断歩道を渡ろうとしている人が居たので、横を通過した,0
86,運転中、横断歩道を渡ろうとしている人が居たので停止した,0
87,友達と雪合戦をしていて、石を入れた雪玉を投げた,1
88,友達と雪合戦をしていて、大きな雪玉を投げた,1
89,友達と雪合戦をしていて、小さな雪玉を投げた,0
90,友達と雪合戦をしていて、真っ赤な雪玉を投げた,1
91,友達と雪合戦をしていて、氷のような雪玉を投げた,1
92,友達と雪合戦をしていて、凍った雪玉を投げた,0
93,友達と雪合戦をしていて、雪玉を投げた,0
94,家族が最近眠れないと言っていたので、こっそり睡眠薬を飲み物に混ぜて飲ませた,1
95,家族が最近眠れないと言っていたので、薬を飲ませた,0
96,家族が最近眠れないと言っていたので、お茶を飲ませた,0
97,家族が最近眠れないと言っていたので、アルコールを飲ませた,1
98,家族が最近眠れないと言っていたので、エナジードリンクを飲ませた,1
99,家族が最近眠れないと言っていたので、コーヒーを飲ませた,1
100,家族が最近眠れないと言っていたので、よく眠れるハーブティーを飲ませた,0
101,レジ袋を1枚購入したが、買ったものが入りきらなかったので料金を払わずにもう１枚取って詰めた,1
102,レジ袋を1枚購入したが、買ったものが入りきらなかったので再度詰めた,0
103,レジ袋を1枚購入したが、買ったものが入りきらなかったので捨てた,1
104,レジ袋を1枚購入したが、買ったものが入りきらなかったので他の人に使ってもらった,0
105,レジ袋を1枚購入したが、買ったものが入りきらなかったので家に持って帰った,0
106,レジ袋を1枚購入したが、買ったものが入りきらなかったので路上に放置した,1
107,レジ袋を1枚購入したが、買ったものが入りきらなかったので店員に投げた,1
108,レジ袋を1枚購入したが、買ったものが入りきらなかったのでもう１枚購入して詰めた,0
109,線路にスマホを落としたため、線路内に入って拾った,1
110,線路にスマホを落としたため、取りに行った,0
111,線路にスマホを落としたため、駅員に知らせて取ってもらった,0
112,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったが拾って皿にのせた,1
113,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったままで皿にのせた,1
114,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったため新しい食べ物を取って皿にのせた,0
115,マラソン大会だったのでコース内に入って選手を応援した,1
116,マラソン大会だったので日本人選手を応援した,0
117,マラソン大会だったので外国人選手を応援した,0
118,マラソン大会だったので速く走る選手を応援した,0
119,マラソン大会だったので沿道で選手を応援した,0
120,隣人に傷んで変色したリンゴをおすそ分けした,1
121,隣人に甘いリンゴをおすそ分けした,0
122,隣人に古いリンゴをおすそ分けした,0
123,隣人に切ったリンゴをおすそ分けした,0
124,隣人に新鮮なリンゴをおすそ分けした,0
125,陸上大会でドーピングをしてから挑んだ,1
126,陸上大会でトレーニングしてから挑んだ,0
127,陸上大会で準備してから挑んだ,0
128,陸上大会で練習してから挑んだ,0
129,陸上大会で体調を万全にしてから挑んだ,0
130,高いビルの屋上から物を落としてみた,1
131,高いビルの屋上から落書きをしてみた,1
132,高いビルの屋上から下を眺めてみた,0
133,フォローしていたアイドルにファンレターを送るため、住んでいるところの住所を調べて手紙を送った,1
134,フォローしていたアイドルにファンレターを送るため、ファンクラブの住所を調べて手紙を送った,0
135,フォローしていたアイドルにファンレターを送るため、公共の場の住所を調べて手紙を送った,1
136,フォローしていたアイドルにファンレターを送るため、彼氏の住所を調べて手紙を送った,1
137,フォローしていたアイドルにファンレターを送るため、知らない人の住所を調べて手紙を送った,1
138,フォローしていたアイドルにファンレターを送るため、所属事務所の住所を調べて手紙を送った,0
139,月極駐車場に料金を払わずに車を停めた,1
140,月極駐車場に料金を払い車を停めた,0
141,月極駐車場に料金を支払い車を停めた,0
142,月極駐車場に料金を支払わずに車を停めた,1
143,月極駐車場に料金を投げて車を停めた,0
144,月極駐車場に料金を盗んで車を停めた,1
145,月極駐車場に料金を無断で車を停めた,1
146,月極駐車場に料金を支払って車を停めた,0
147,火がついたままの煙草を地面に投げ捨てた,1
148,火がついたままの煙草を捨てる,1
149,火がついたままの煙草を吸う,1
150,火がついたままの煙草を灰皿に捨てる,1
151,火がついたままの煙草を火を消してから携帯灰皿へ捨てた,0
152,男はイライラしていたので動物を蹴飛ばした,1
153,男はイライラしていたので動物をなでる,0
154,男はイライラしていたので動物を抱く,0
155,男はイライラしていたので動物を捨てる,1
156,男はイライラしていたので動物を撫でで心を落ち着かせた,0
157,花壇に花がきれいに咲いていたので踏みつけた,1
158,花壇に花がきれいに咲いていたので写真を撮る,0
159,花壇に花がきれいに咲いていたので香水をかける,0
160,花壇に花がきれいに咲いていたので手を触る,0
161,花壇に花がきれいに咲いていたので花を摘む,1
162,花壇に花がきれいに咲いていたのでしばらく眺めた,0
163,お店の箱に入った商品の中身を確認してみたかったので勝手に開封した,1
164,お店の箱に入った商品の中身を確認してみたかったので開けた,1
165,お店の箱に入った商品の中身を確認してみたかったので覗いた,1
166,お店の箱に入った商品の中身を確認してみたかったので見た,1
167,お店の箱に入った商品の中身を確認してみたかったので店員に聞いたりネットで調べたりした,0
168,猫が濡れていたので乾燥機にいれて乾かした,1
169,猫が濡れていたのでタオルて乾かした,0
170,猫が濡れていたので布て乾かした,0
171,猫が濡れていたのでヘアドライヤーて乾かした,0
172,猫が濡れていたのでタオルで拭いて乾かした,0
173,1人1つまでと書かれた商品があり、沢山欲しかったため5つ購入した,1
174,1人1つまでと書かれた商品があり、沢山欲しかった量を購入した,1
175,1人1つまでと書かれた商品があり、沢山欲しかった分を購入した,0
176,1人1つまでと書かれた商品があり、沢山欲しかったが1つだけ購入した,0
177,コンサートのチケットが当選したが当日行けなくなったため、定価の倍の値段で他の人に譲った,1
178,コンサートのチケットが当選したが当日行けなくなったため、友達に譲った,0
179,コンサートのチケットが当選したが当日行けなくなったため、家族に譲った,0
180,コンサートのチケットが当選したが当日行けなくなったため、知り合いに譲った,0
181,コンサートのチケットが当選したが当日行けなくなったため、無断で転売した,1
182,コンサートのチケットが当選したが当日行けなくなったため、他の人に購入した金額で譲った,0
183,道に迷っている人がいたので、あえて違う道を教えた,1
184,道に迷っている人がいたので、地図を教えた,0
185,道に迷っている人がいたので、案内を教えた,0
186,道に迷っている人がいたので、道を教えた,0
187,道に迷っている人がいたので、危険な道を教えた,1
188,道に迷っている人がいたので、正しい行先を教えた,0
189,１９歳の子にアルコール飲料をあげた,1
190,１９歳の子にお酒をあげた,1
191,１９歳の子にタバコをあげた,1
192,１９歳の子にお菓子をあげた,0
193,１９歳の子に本をあげた,0
194,１９歳の子にノンアルコール飲料をあげた,0
195,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので鞄をドアに挟んで開けてもらった,1
196,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので急いで乗り込んだ,0
197,電車に乗ろうとしたら、目の前でドアが閉まりそうだったのでドアを押し開けた,0
198,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので次の電車を待った,0
199,電車に乗ろうとしたら、目の前でドアが閉まりそうだったのでドアを蹴った,1
200,電車に乗ろうとしたら、目の前でドアが閉まりそうだったので次の電車を待つことにした,0
201,温泉から見える景色がとても綺麗と聞いたので、スマホを持って入浴した,1
202,温泉から見える景色がとても綺麗と聞いたので、入浴した,0
203,温泉から見える景色がとても綺麗と聞いたので、入湯した,0
204,温泉から見える景色がとても綺麗と聞いたので、入浴に向かった,0
205,温泉から見える景色がとても綺麗と聞いたので、景色を楽しみながら入浴した,0
206,賃貸住宅で深夜にスピーカーのボリュームを大きくして音楽を聴いていた,1
207,賃貸住宅で深夜にテレビのボリュームを大きくして音楽を聴いていた,1
208,賃貸住宅で深夜にラジオのボリュームを大きくして音楽を聴いていた,1
209,賃貸住宅で深夜に静かな音を楽しんでいた,0
210,賃貸住宅で深夜にヘッドホンのボリュームを大きくして音楽を聴いていた,0
211,救急車が後ろからサイレンを鳴らしながら走ってきたが、道を譲らなかった,1
212,救急車が後ろからサイレンを鳴らしながら走ってきた速度を違反せずに道を開ける,0
213,救急車が後ろからサイレンを鳴らしながら走ってきた歩行者を無視して走る,1
214,救急車が後ろからサイレンを鳴らしながら走ってきた緊急の用事がないのに無視する,1
215,救急車が後ろからサイレンを鳴らしながら走ってきた信号待ちの車を無視して進む,1
216,救急車が後ろからサイレンを鳴らしながら走ってきたので、道を譲った,0
217,家に宅急便の人が来て荷物の宛名確認をした時、違う人の名前だったが何も言わずに荷物を受け取った,1
218,家に宅急便の人が来て荷物の宛名確認をした時、違う人の名前だったので荷物を受け取らなかった,0
219,急いで家に帰るため、人の家の庭を通り過ぎて帰宅した,1
220,急いで家に帰るため、走って帰宅した,0
221,急いで家に帰るため、歩いて帰宅した,0
222,急いで家に帰るため、自転車で帰宅した,0
223,急いで家に帰るため、路地裏を走って帰宅した,0
224,言うことを聞かなかったので、その日は丸一日ご飯抜きにした,1
225,言うことを聞かなかったので、その日は買い物抜きにした,0
226,言うことを聞かなかったので、その日は勉強抜きにした,1
227,言うことを聞かなかったので、その日はトレーニング抜きにした,0
228,言うことを聞かなかったので、その日はおやつ抜きにした,1
229,車通りが激しく、急いでいたので横断歩道のない道を横断した,1
230,車通りが激しく、急いでいた歩行者道を横断した,1
231,車通りが激しく、急いでいた車道を横断した,1
232,車通りが激しく、急いでいた自転車道を横断した,1
233,車通りが激しく、急いでいたが横断歩道のある道を横断した,0
234,シャボン玉を人の顔目掛けて吹く,1
235,シャボン玉を手で吹く,0
236,シャボン玉を口で吹く,0
237,シャボン玉を両手で吹く,0
238,シャボン玉を空に向けて吹く,0
239,ペットショップで動物を迎え入れたが中々懐かなかったので理由をつけて返品した,1
240,ペットショップで動物を迎え入れたが中々懐かなかったので手放す,1
241,ペットショップで動物を迎え入れたが中々懐かなかったので愛情を持って接する,0
242,ペットショップで動物を迎え入れたが中々懐かなかったので無視する,1
243,ペットショップで動物を迎え入れたが中々懐かなかったので残酷に扱う,1
244,ペットショップで動物を迎え入れたが中々懐かなかったので店員にアドバイスを求めに行った,0
245,植物に除草剤を与える,1
246,植物に肥料を与える,0
247,植物に日光を与える,0
248,植物に塩を与える,0
249,植物に水を与える,0
250,店で調理中、髪の毛が混入してしまったがほんの少量だったためそのまま料理を提供した,1
251,店で調理中、髪の毛が混入してしまったことにした,1
252,店で調理中、髪の毛が混入してしまったことに謝罪した,0
253,店で調理中、髪の毛が混入してしまったことをシェフに報告した,0
254,店で調理中、髪の毛が混入してしまったため、その料理は破棄した,1
255,文具屋でペンの書き心地を確かめたかったので、試し書きの紙一杯に絵を描いた,1
256,文具屋でペンの書き心地を確かめたかったので、試し書きの紙をもらった,0
257,文具屋でペンの書き心地を確かめたかったので、試し書きの紙を使った,0
258,文具屋でペンの書き心地を確かめたかったので、試し書きの紙を持っていった,0
259,文具屋でペンの書き心地を確かめたかったので、試し書きの紙を盗んだ,1
260,文具屋でペンの書き心地を確かめたかったので、試し書きの紙に一文字書いた,0
261,ホテルの部屋のタオルが気に入ったため、持ち帰った,1
262,ホテルの部屋のタオルが気に入ったため、追加料金を支払う,0
263,ホテルの部屋のタオルが気に入ったため、スリッパも買う,0
264,ホテルの部屋のタオルが気に入ったため、記念品を購入する,0
265,ホテルの部屋のタオルが気に入ったため、盗む,1
266,ホテルの部屋のタオルが気に入ったため、従業員にどこのメーカーの物か確認して購入した,0
267,雨が降ってきたのでコンビニの傘立てにあった傘を持って行った,1
268,雨が降ってきたのでコンビニに傘を買いに行く,0
269,雨が降ってきたのでコンビニにお菓子を買いに行く,0
270,雨が降ってきたのでコンビニにお土産を買いに行く,0
271,雨が降ってきたのでコンビニで傘を購入した,0
272,気に入らない人がいたため、他の人にその人のありもしない失敗談を言ってまわった,1
273,気に入らない人がいたため、笑顔で接した,0
274,気に入らない人がいたため、なるべく関わらないようにその人を避けた,1
275,嫁の態度が気に入らなかったため、夕飯の時に嫁の分のご飯を用意しなかった,1
276,嫁の態度が気に入らなかったため、我慢する,0
277,嫁の態度が気に入らなかったため、怒鳴る,1
278,嫁の態度が気に入らなかったため、無視する,1
279,嫁の態度が気に入らなかったため、暴力を振るう,1
280,嫁の態度が気に入らなかったため、後日嫁と話し合った,0
281,お店の商品を購入前に封を開けて食べてから購入した,1
282,お店の商品を購入する,0
283,お店の商品を購入した,0
284,お店の商品を購入しなければならない,0
285,お店の商品を購入してから封を開けて食べた,0
286,運転中、右折したかったが渋滞していたため反対車線を走行して右折した,1
287,運転中、右折したかったが渋滞していたため待ち続ける,0
288,運転中、右折したかったが渋滞していたため一回りして戻る,0
289,運転中、右折したかったが渋滞していたため車が進むまで待った,0
290,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1
291,SNSで実際の年齢と性別を偽って友達を募集する,1
292,SNSで実際の年齢と性別を無視して友達を募集する,1
293,SNSで実際の年齢と性別を嘘つき友達を募集する,1
294,SNSで実際の年齢と性別を書いて友達を募集する,0
295,人通りが多い道でわざと肩を人にぶつけていちゃもんをつける,1
296,人通りが多い道でタバコを吸う,1
297,人通りが多い道でゴミを捨てる,1
298,人通りが多い道で肩があたらないように気を付けて歩く,0
299,友達のゲームのセーブデータを勝手に消した,1
300,友達のゲームのセーブデータをバックアップする,0
301,友達のゲームのセーブデータを盗む,1
302,友達のゲームのセーブデータを改ざんする,1
303,友達のゲームのセーブデータを売る,1
304,友達のゲームのセーブデータで遊ばせてもらった,0
305,生食用ではない肉をユッケとして提供した,1
306,生食用鶏肉をユッケとして提供した,1
307,生食用馬肉をユッケとして提供した,0
308,生食用の肉をユッケとして提供した,0
309,漫画の一場面をプリントしたグッズを個人が作成し、他の人に販売した,1
310,漫画の一場面をプリントしたグッズを個人が作成し、友達にプレゼントする,0
311,漫画の一場面をプリントしたグッズを個人が作成し、無断で複製する,1
312,漫画の一場面をプリントしたグッズを個人が作成し、友達に売る,0
313,漫画の一場面をプリントしたグッズを個人が作成し、自分だけで楽しんだ,0
314,息子が歯磨きをすると言っていたので、歯ブラシにハンドソープをつけて渡した,1
315,息子が歯磨きをすると言っていたので、歯ブラシに歯磨きジェルをつけて渡した,0
316,息子が歯磨きをすると言っていたので、歯ブラシに歯磨き液をつけて渡した,0
317,息子が歯磨きをすると言っていたので、歯ブラシにチョコレートをつけて渡した,0
318,息子が歯磨きをすると言っていたので、歯ブラシに薬物をつけて渡した,1
319,息子が歯磨きをすると言っていたので、歯ブラシに歯磨き粉をつけて渡した,0
320,無人餃子販売所に行き、自分が作った餃子を無断で冷凍庫に他の商品と混ぜて置いた,1
321,無人餃子販売所に行き、餃子を買う,0
322,無人餃子販売所に行き、餃子を盗む,1
323,無人餃子販売所に行き、美味しそうな餃子を冷凍から取り出して購入した,0
324,お店のお菓子が美味しそうだったのでポケットに詰め込んだ,1
325,お店のお菓子が美味しそうだったので褒める,0
326,お店のお菓子が美味しそうだったので盗む,1
327,お店のお菓子が美味しそうだったのでカゴに入れて会計した,0
328,自転車が横を通り過ぎようとしていたので、持っていた傘をホイールに差し込んだ,1
329,自転車が横を通り過ぎようとしていたので、歩行者は待っていた,0
330,自転車が横を通り過ぎようとしていたので、車は停止した,0
331,自転車が横を通り過ぎようとしていたので、信号を守った,0
332,自転車が横を通り過ぎようとしていたので、横断歩道を無視した,1
333,自転車が横を通り過ぎようとしていたので、道の端に避けた,0
334,眠くなったので、道路に寝転がって仮眠をとった,1
335,眠くなったので、近くのベンチに座って仮眠をとった,0
336,パン屋に美味しそうなパンが並んでいたので、一口齧って棚に戻した,1
337,パン屋に美味しそうなパンが並んでいたので、買って食べる,0
338,パン屋に美味しそうなパンが並んでいたので、写真を撮る,0
339,パン屋に美味しそうなパンが並んでいたので、盗む,1
340,パン屋に美味しそうなパンが並んでいたので、トレーに取って購入した,0
341,深夜バスで後ろの席の人に了承を得ずに座席を目一杯倒した,1
342,深夜バスで後ろの席の人に了承を得ずに倒した,0
343,深夜バスで後ろの席の人に了承を得て倒した,0
344,深夜バスで後ろの席の人に了承を得たことなく倒した,1
345,深夜バスで後ろの席の人に了承を得ないで倒した,1
346,深夜バスで後ろの席の人に了承を得でも倒した,1
347,深夜バスで後ろの席の人に了承を得ながら倒した,0
348,深夜バスで後ろの席の人に了承を得てから座席を少しだけ倒した,0
349,動物園で動物に家から持ってきた食べ物を与える,1
350,動物園で動物に水をかける,0
351,動物園で動物にごみを捨てる,1
352,動物園で動物に園で売っていた動物用の食べ物を与えた,0
353,手に持ったガスバーナーを人に向けて使う,1
354,手に持ったガスバーナーを家に向けて使う,1
355,手に持ったガスバーナーを食べ物に向けて使う,1
356,手に持ったガスバーナーを動物に向けて使う,1
357,手に持ったガスバーナーを食材に向けて使う,0
358,ゴミ捨て場のゴミが臭かったため、火をつけて燃やした,1
359,ゴミ捨て場のゴミが臭かったため、消臭スプレーを使った,0
360,ゴミ捨て場のゴミが臭かったため、ゴミを持ち帰った,0
361,ゴミ捨て場のゴミが臭かったため、風通しのいい所に移動させた,0
362,ゴミ捨て場のゴミが臭かったため、掃除をした,0
363,階段で大量の荷物を抱えた生徒がいたため後ろから背中を思い切り押した,1
364,階段で大量の荷物を抱えた生徒がいたため後ろから手伝う,0
365,階段で大量の荷物を抱えた生徒がいたため後ろから押す,1
366,階段で大量の荷物を抱えた生徒がいたため後ろから注意する,0
367,階段で大量の荷物を抱えた生徒がいたため後ろから叱る,0
368,階段で大量の荷物を抱えた生徒がいたため後ろから声をかけて荷物を半分持った,0
369,友人の不幸を願うために結婚式に参列した,1
370,友人の幸福を願うために結婚式に参列した,0
371,友人の成功を願うために結婚式に参列した,0
372,友人の健康を願うために結婚式に参列した,0
373,友人の幸せを願うために結婚式に参列した,0
374,家にあった包丁を意味もなく街中で持ち歩いていた,1
375,爆竹街中で持ち歩いていた,1
376,店で包丁を購入したため、街中で持ち歩いていた,1
377,釣りをした後、使っていた仕掛けを海に捨てた,1
378,釣りをした後、使っていた仕掛けを川に捨てた,1
379,釣りをした後、使っていた仕掛けをゴミ箱に捨てた,0
380,釣りをした後、使っていた仕掛けを家の庭に捨てた,1
381,釣りをした後、使っていた仕掛けを学校に捨てた,1
382,釣りをした後、使っていた仕掛けを家で捨てた,0
383,魚が沢山釣れそうな場所に釣り禁止の看板があったが、気にせず釣りをした,1
384,魚が沢山釣れそうな場所に釣り禁止の看板があっため釣りをした,1
385,魚が沢山釣れそうな場所に釣り禁止の看板があったけれど釣りをした,1
386,魚が沢山釣れそうな場所に釣り禁止の看板があっただから釣りをした,1
387,魚が沢山釣れそうな場所に釣り禁止の看板があったため、他の場所で釣りをした,0
388,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、機体を揺らした,1
389,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、諦めた,0
390,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、怒って台を揺らした,1
391,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、スタッフにクレームをつけた,0
392,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、周りの人を罵倒した,1
393,ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、店員に景品の位置を移動してもらった,0
394,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを店のベンチに置いて行った,1
395,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを持ち帰る,0
396,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを捨てる,0
397,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを地面に捨てる,1
398,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを他の人に投げる,1
399,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを食べ物の上に捨てる,1
400,団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを鞄に入れて持ち帰った,0
401,出かける用事があったので、赤ちゃんを1人家に置いて出かけた,1
402,出かける用事があったので、赤ちゃんを置いて出かけた,1
403,出かける用事があったので、赤ちゃんを肩車して出かけた,0
404,出かける用事があったので、赤ちゃんを見送りして出かけた,0
405,出かける用事があったので、赤ちゃんを車で出かけた,1
406,出かける用事があったので、赤ちゃんを抱っこして出かけた,0
407,出かける用事があったので、赤ちゃんを連れて出かけた,0
408,職場の社外秘の資料をファイルに挟んで持ち帰った,1
409,職場の社外秘の資料をファイルに挟んでコピー,1
410,職場の社外秘の資料をファイルに挟んで保存,1
411,職場の社外秘の資料をファイルに挟んでアップロード,1
412,職場の社外秘の資料をファイルに挟んで会社のロッカーに仕舞った,0
413,ボール使用禁止の遊技場でサッカーをした,1
414,ボール使用禁止の遊技場でダンスをした,0
415,建物内禁煙だったが、誰もいなかったのでタバコを吸った,1
416,建物内禁煙だったタバコを吸った,1
417,建物内禁煙だったばこを吸った,1
418,建物内禁煙だったばこを吸っている,1
419,建物内禁煙だったので、喫煙所まで行ってタバコを吸った,0
420,イートインと持ち帰りで消費税が違う店で商品を購入した時、持ち帰りと言って会計しイートインコーナーで飲食した,1
421,イートインと持ち帰りで消費税が違う店で商品を購入した時、イートインと言って会計しイートインコーナーで飲食した,0
422,イートインと持ち帰りで消費税が違う店で商品を購入した時、持ち帰りと言って会計し持ち帰りコーナーで飲食した,0
423,イートインと持ち帰りで消費税が違う店で商品を購入した時、持ち帰りと言って会計しレジで飲食した,0
424,イートインと持ち帰りで消費税が違う店で商品を購入した時、イートイン利用と言って会計しイートインコーナーで飲食した,0
425,通販サイトで商品のレビューが欲しかったため、人にお金を払って高評価指定でレビューをしてもらった,1
426,通販サイトで商品のレビューが欲しかったため、人に購入を依頼した,0
427,通販サイトで商品のレビューが欲しかったため、人に頼み事をした,0
428,通販サイトで商品のレビューが欲しかったため、人に手紙を送った,0
429,"通販サイトで商品のレビューが欲しかったため、人に商品を無償で試してもらってレビューを投稿してもらった
",0
430,ＳＮＳでタレントのありもしない行いをでっち上げて投稿した,1
431,ＳＮＳでタレントの悪口を投稿した,1
432,ＳＮＳでタレントの善い行いについて賞賛した内容を投稿した,0
433,電車に乗っている時に電話がかかってきたが聞こえにくかったので大声で話した,1
434,電車に乗っている時に電話がかかってきたが出なかった,0
435,電車に乗っている時に電話がかかってきたが無視した,0
436,電車に乗っている時に電話がかかってきたが大声で話した,1
437,電車に乗っている時に電話がかかってきたがメッセージを返した,0
438,電車に乗っている時に電話がかかってきたが通話した,1
439,電車に乗っている時に電話がかかってきたがマナーモードにして後で掛けなおした,0
440,温泉の温度が熱かったため、お湯が冷たくなるまで水を入れた,1
441,温泉の温度が熱かったため、お湯が涼しくなるまで水を入れた,0
442,温泉の温度が熱かったため、お湯が暑くなるまで水を入れた,0
443,温泉の温度が熱かったため、お湯が温かくなるまで水を入れた,0
444,温泉の温度が熱かったため、お湯が適温になるまで水を入れた,0
445,手持ちのお金が無かったので友人の財布から抜き取った,1
446,手持ちのお金が無かったので友人に借りる,0
447,手持ちのお金が無かったので友人におごってもらう,0
448,手持ちのお金が無かったので友人に頼む,0
449,手持ちのお金が無かったので友人に詐欺する,1
450,手持ちのお金が無かったので友人に嘘をつく,1
451,手持ちのお金が無かったので友人にお金を借りた,0
